EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,DEPARTMENT_ID,DEPARTMENT_NAME
100,Steven,King,SKING,515.123.4567,6/17/1987,AD_PRES,24000,,90,Executive
101,Neena,Kochhar,NKOCHHAR,515.123.4568,9/21/1989,AD_VP,17000,,90,Executive
102,Lex,De Haan,LDEHAAN,515.123.4569,1/13/1993,AD_VP,17000,,90,Executive
103,Alexander,Hunold,AHUNOLD,590.423.4567,1/3/1990,IT_PROG,9000,,60,IT
104,Bruce,Ernst,BERNST,590.423.4568,5/21/1991,IT_PROG,6000,,60,IT
105,David,Austin,DAUSTIN,590.423.4569,6/25/1997,IT_PROG,4800,,60,IT
106,Valli,Pataballa,VPATABAL,590.423.4560,2/5/1998,IT_PROG,4800,,60,IT
107,Diana,Lorentz,DLORENTZ,590.423.5567,2/7/1999,IT_PROG,4200,,60,IT
108,Nancy,Greenberg,NGREENBE,515.124.4569,8/17/1994,FI_MGR,12000,,100,Finance
109,Daniel,Faviet,DFAVIET,515.124.4169,8/16/1994,FI_ACCOUNT,9000,,100,Finance
110,John,Chen,JCHEN,515.124.4269,9/28/1997,FI_ACCOUNT,8200,,100,Finance
111,Ismael,Sciarra,ISCIARRA,515.124.4369,9/30/1997,FI_ACCOUNT,7700,,100,Finance
112,Jose Manuel,Urman,JMURMAN,515.124.4469,3/7/1998,FI_ACCOUNT,7800,,100,Finance
113,Luis,Popp,LPOPP,515.124.4567,12/7/1999,FI_ACCOUNT,6900,,100,Finance
114,Den,Raphaely,DRAPHEAL,515.127.4561,12/7/1994,PU_MAN,11000,,30,Purchasing
115,Alexander,Khoo,AKHOO,515.127.4562,5/18/1995,PU_CLERK,3100,,30,Purchasing
116,Shelli,Baida,SBAIDA,515.127.4563,12/24/1997,PU_CLERK,2900,,30,Purchasing
117,Sigal,Tobias,STOBIAS,515.127.4564,7/24/1997,PU_CLERK,2800,,30,Purchasing
118,Guy,Himuro,GHIMURO,515.127.4565,11/15/1998,PU_CLERK,2600,,30,Purchasing
119,Karen,Colmenares,KCOLMENA,515.127.4566,8/10/1999,PU_CLERK,2500,,30,Purchasing
120,Matthew,Weiss,MWEISS,650.123.1234,7/18/1996,ST_MAN,8000,,50,Shipping
121,Adam,Fripp,AFRIPP,650.123.2234,4/10/1997,ST_MAN,8200,,50,Shipping
122,Payam,Kaufling,PKAUFLIN,650.123.3234,5/1/1995,ST_MAN,7900,,50,Shipping
123,Shanta,Vollman,SVOLLMAN,650.123.4234,10/10/1997,ST_MAN,6500,,50,Shipping
124,Kevin,Mourgos,KMOURGOS,650.123.5234,11/16/1999,ST_MAN,5800,,50,Shipping
125,Julia,Nayer,JNAYER,650.124.1214,7/16/1997,ST_CLERK,3200,,50,Shipping
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,9/28/1998,ST_CLERK,2700,,50,Shipping
127,James,Landry,JLANDRY,650.124.1334,1/14/1999,ST_CLERK,2400,,50,Shipping
128,Steven,Markle,SMARKLE,650.124.1434,3/8/2000,ST_CLERK,2200,,50,Shipping
129,Laura,Bissot,LBISSOT,650.124.5234,8/20/1997,ST_CLERK,3300,,50,Shipping
130,Mozhe,Atkinson,MATKINSO,650.124.6234,10/30/1997,ST_CLERK,2800,,50,Shipping
131,James,Marlow,JAMRLOW,650.124.7234,2/16/1997,ST_CLERK,2500,,50,Shipping
132,TJ,Olson,TJOLSON,650.124.8234,4/10/1999,ST_CLERK,2100,,50,Shipping
133,Jason,Mallin,JMALLIN,650.127.1934,6/14/1996,ST_CLERK,3300,,50,Shipping
134,Michael,Rogers,MROGERS,650.127.1834,8/26/1998,ST_CLERK,2900,,50,Shipping
135,Ki,Gee,KGEE,650.127.1734,12/12/1999,ST_CLERK,2400,,50,Shipping
136,Hazel,Philtanker,HPHILTAN,650.127.1634,2/6/2000,ST_CLERK,2200,,50,Shipping
137,Renske,Ladwig,RLADWIG,650.121.1234,7/14/1995,ST_CLERK,3600,,50,Shipping
138,Stephen,Stiles,SSTILES,650.121.2034,10/26/1997,ST_CLERK,3200,,50,Shipping
139,John,Seo,JSEO,650.121.2019,2/12/1998,ST_CLERK,2700,,50,Shipping
140,Joshua,Patel,JPATEL,650.121.1834,4/6/1998,ST_CLERK,2500,,50,Shipping
141,Trenna,Rajs,TRAJS,650.121.8009,10/17/1995,ST_CLERK,3500,,50,Shipping
142,Curtis,Davies,CDAVIES,650.121.2994,1/29/1997,ST_CLERK,3100,,50,Shipping
143,Randall,Matos,RMATOS,650.121.2874,3/15/1998,ST_CLERK,2600,,50,Shipping
144,Peter,Vargas,PVARGAS,650.121.2004,7/9/1998,ST_CLERK,2500,,50,Shipping
145,John,Russell,JRUSSEL,011.44.1344.429268,10/1/1996,SA_MAN,14000,0.4,80,Sales
146,Karen,Partners,KPARTNER,011.44.1344.467268,1/5/1997,SA_MAN,13500,0.3,80,Sales
147,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,3/10/1997,SA_MAN,12000,0.3,80,Sales
148,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,10/15/1999,SA_MAN,11000,0.3,80,Sales
149,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,1/29/2000,SA_MAN,10500,0.2,80,Sales
150,Peter,Tucker,PTUCKER,011.44.1344.129268,1/30/1997,SA_REP,10000,0.3,80,Sales
151,David,Bernstein,DBERNSTE,011.44.1344.345268,3/24/1997,SA_REP,9500,0.25,80,Sales
152,Peter,Hall,PHALL,011.44.1344.478968,8/20/1997,SA_REP,9000,0.25,80,Sales
153,Christopher,Olsen,COLSEN,011.44.1344.498718,3/30/1998,SA_REP,8000,0.2,80,Sales
154,Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,12/9/1998,SA_REP,7500,0.2,80,Sales
155,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,11/23/1999,SA_REP,7000,0.15,80,Sales
156,Janette,King,JKING,011.44.1345.429268,1/30/1996,SA_REP,10000,0.35,80,Sales
157,Patrick,Sully,PSULLY,011.44.1345.929268,3/4/1996,SA_REP,9500,0.35,80,Sales
158,Allan,McEwen,AMCEWEN,011.44.1345.829268,8/1/1996,SA_REP,9000,0.35,80,Sales
159,Lindsey,Smith,LSMITH,011.44.1345.729268,3/10/1997,SA_REP,8000,0.3,80,Sales
160,Louise,Doran,LDORAN,011.44.1345.629268,12/15/1997,SA_REP,7500,0.3,80,Sales
161,Sarath,Sewall,SSEWALL,011.44.1345.529268,11/3/1998,SA_REP,7000,0.25,80,Sales
162,Clara,Vishney,CVISHNEY,011.44.1346.129268,11/11/1997,SA_REP,10500,0.25,80,Sales
163,Danielle,Greene,DGREENE,011.44.1346.229268,3/19/1999,SA_REP,9500,0.15,80,Sales
164,Mattea,Marvins,MMARVINS,011.44.1346.329268,1/24/2000,SA_REP,7200,0.1,80,Sales
165,David,Lee,DLEE,011.44.1346.529268,2/23/2000,SA_REP,6800,0.1,80,Sales
166,Sundar,Ande,SANDE,011.44.1346.629268,3/24/2000,SA_REP,6400,0.1,80,Sales
167,Amit,Banda,ABANDA,011.44.1346.729268,4/21/2000,SA_REP,6200,0.1,80,Sales
168,Lisa,Ozer,LOZER,011.44.1343.929268,3/11/1997,SA_REP,11500,0.25,80,Sales
169,Harrison,Bloom,HBLOOM,011.44.1343.829268,3/23/1998,SA_REP,10000,0.2,80,Sales
170,Tayler,Fox,TFOX,011.44.1343.729268,1/24/1998,SA_REP,9600,0.2,80,Sales
171,William,Smith,WSMITH,011.44.1343.629268,2/23/1999,SA_REP,7400,0.15,80,Sales
172,Elizabeth,Bates,EBATES,011.44.1343.529268,3/24/1999,SA_REP,7300,0.15,80,Sales
173,Sundita,Kumar,SKUMAR,011.44.1343.329268,4/21/2000,SA_REP,6100,0.1,80,Sales
174,Ellen,Abel,EABEL,011.44.1644.429267,5/11/1996,SA_REP,11000,0.3,80,Sales
175,Alyssa,Hutton,AHUTTON,011.44.1644.429266,3/19/1997,SA_REP,8800,0.25,80,Sales
176,Jonathon,Taylor,JTAYLOR,011.44.1644.429265,3/24/1998,SA_REP,8600,0.2,80,Sales
177,Jack,Livingston,JLIVINGS,011.44.1644.429264,4/23/1998,SA_REP,8400,0.2,80,Sales
178,Kimberely,Grant,KGRANT,011.44.1644.429263,5/24/1999,SA_REP,7000,0.15,,
179,Charles,Johnson,CJOHNSON,011.44.1644.429262,1/4/2000,SA_REP,6200,0.1,80,Sales
180,Winston,Taylor,WTAYLOR,650.507.9876,1/24/1998,SH_CLERK,3200,,50,Shipping
181,Jean,Fleaur,JFLEAUR,650.507.9877,2/23/1998,SH_CLERK,3100,,50,Shipping
182,Martha,Sullivan,MSULLIVA,650.507.9878,6/21/1999,SH_CLERK,2500,,50,Shipping
